Africa (Region),0,0,0,0,0,0,0,0,0,0,1084.162,973.976,946.207,921.164,880.737,1022.934,1114.199,1127.96,1113.825,900.054,900.146,851.157,848.238,998.822,1167.057,1339.252,1506.701,1706.668,1944.551,1800.418,2050.024,2231.787,2320.378,2345.351,2369.607,2110.298,1956.895,1915.312,2001.195,2001.224,1886.892,2058.283,2157.398,2044.409,2079.88,2209.349,2330.819,2454.721,2592.564
Asia and Pacific,967.898,1016.459,970.507,1012.764,1055.624,1056.643,1318.506,1536.566,1800.837,1838.401,1882.879,2040.822,2154.125,2388.1,2545.435,2849.244,2739.857,2598.534,2288.778,2509.151,2652.886,2444.831,2467.594,2720.962,3035.255,3245.298,3435.52,3887.563,4348.609,4422.773,5112.83,5816.497,6114.244,6145.286,6304.746,6193.753,6384.362,6777.094,7208.036,7328.313,7296.251,8271.693,8279.717,8388.461,8783.015,9324.478,9870.042,10413.045,11013.391
Australia and New Zealand,10356.048,11665.312,11405.366,10821.992,11622.009,10287.225,10762.386,12696.785,15814.651,17360.179,17975.573,17624.511,17051.633,16630.309,18883.249,20248.845,22379.566,22217.48,19456.94,20680.54,19741.776,18515.144,20688.276,26136.036,31496.903,34735.567,35970.586,42959.889,46307.676,42891.724,52773.236,62508.584,63808.773,61495.513,58834.557,49281.194,49805.529,53601.584,54135.687,52327.689,51142.812,61351.091,61942.727,60969.72,60091.319,62567.106,64966.356,67329.479,69699.966
Caribbean,1536.75,1647.903,1800.345,1769.429,1751.205,1762.454,1651.84,1530.607,1527.029,1611.07,1730.379,1699.244,1657.735,1685.238,1883.457,2252.444,2398.267,2553.844,2706.852,2844.816,2952.167,2941.232,3014.993,3080.494,3374.798,3773.073,4065.959,4540.636,5060.923,4396.871,4654.997,4985.557,5168.862,5245.384,5299.478,5138.504,4796.026,4932.353,5109.707,5010.435,4304.952,5129.968,6077.16,6503.709,7014.018,7398.202,7800.185,8023.961,8249.137
Central America,1300.384,1258.892,1238.955,1262.488,1452.967,1218.009,1105.112,1147.912,1127.291,1233.059,1144.891,1295.33,1440.6,1554.384,1583.814,1727.107,1809.606,1934.184,2053.86,2041.856,2128.538,2202.399,2280.452,2195.599,2308.001,2719.5,2934.293,3287.848,3644.773,3585.592,3928.372,4344.354,4607.539,4816.7,5064.175,5346.849,5564.853,5810.774,5956.654,6099.981,5576.331,6270.728,6976.441,7591.082,7993.51,8396.546,8819.96,9263.109,9725.968
Central Asia and the Caucasus,2133.685,2113.068,1876.637,1753.332,1668.464,1835.181,1983.05,2260.66,2333.225,2707.896,3738.161,0,1911.941,2238.904,1670.342,2182.672,2340.272,2433.392,2524.398,2336.649,2452.981,0,1988.413,2521.082,3221.958,3958.458,4481.019,5509.872,6272.52,5338.628,6290.767,6989.747,7316.286,7841.508,7609.399,6708.144,6293.224,6247.351,5794.311,5698.703,5344.56,5998.018,8000,9549.576,10752.205,11217.543,11616.251,12084.045,12578.902
East Asia,1345.555,1427.812,1337.44,1438.817,1507.113,1556.794,2105.059,2508.344,3020.931,3067.105,3081.572,3456.514,3773.513,4274.071,4590.83,5148.959,4803.995,4519.661,4104.02,4576.908,4925.666,4537.436,4526.851,4907.489,5407.63,5683.568,5903.895,6489.532,7397.996,7726.821,8779.033,10077.523,10736.947,10775.243,11174.207,11209.243,11595.274,12256.851,13346.599,13620.267,13908.413,15855.255,15365.98,15289.191,15951.242,16965.443,17984.838,18966.173,20077.761
Eastern Europe ,2063.921,2175.798,2332.853,2341.23,2241.265,2207.106,2267.738,2309.591,2727.925,0,0,0,944.571,1439.892,1907.161,2359.62,2695.297,2763.67,2416.891,2105.377,2298.592,2615.675,2973.747,3647.038,4663.873,5729.575,6969.475,9033.306,11319.53,8864.446,10044.335,11911.984,12095.623,12663.891,11925.6,8993.178,8825.928,10319.623,11290.986,11614.676,10974.726,13135.439,14880.514,14934.079,15669.02,16300.228,17024.562,17593.168,18167.724
Europe,9004.511,8073.345,7795.615,7575.602,7264.144,7501.073,10066.525,12336.215,13769.203,0,0,0,13244.566,12165.338,13071.52,14823.11,15166.835,14210.979,14455.498,14368.205,13504.16,13734.739,15013.907,18213.434,21135.344,22350.78,24116.116,28057.526,30788.126,26982.243,27386.208,30088.235,28752.429,29909.246,30332.677,25993.32,25943.764,27561.834,29701.873,29285.531,28330.916,32355.134,32504.17,34705.974,36589.117,38270.453,39932.652,41316.436,42719.774
Middle East (Region),5320.827,5662.214,5345.187,5261.506,5012.865,4859.237,4799.205,5624.702,5802.807,6407.311,7895.831,5413.161,3306.375,3522.642,3755.61,4123.675,4650.337,4891.616,4749.397,5418.974,6557.204,6110.657,4739.471,4543.871,5297.785,6304.651,7236.977,8361.706,10185.919,8828.42,10230.597,13272.852,12807.086,12993.342,13031.889,11076.524,10939.838,11563.327,11935.923,11377.529,9666.817,11533.527,13751.792,13328.237,13716.997,14066.009,14393.197,14760.022,15116.418
North Africa,1582.812,1471.645,1483.163,1508.806,1518.302,1634.256,1647.734,1855.22,1908.965,2097.807,2091.266,1558.155,1552.823,1515.714,1483.915,1603.614,1746.337,1759.598,1779.721,1850.665,1914.575,1843.826,1673.831,1832.94,2036.999,2324.981,2633.241,3019.416,3656.28,3381.186,3752.593,3926.835,4406.525,4336.307,4304.225,3990.464,3896.145,3384.306,3546.556,3732.87,3714.482,4016.338,4330.108,4145.967,4036.716,4313.393,4579.367,4861.798,5169.617
North America,10499.946,11739.817,11769.545,12449.095,13636.896,14422.67,14781.614,15592.565,16807.485,18020.686,18877.575,19347.5,20152.195,20996.141,21902.751,22157.646,23177.292,24441.694,25389.439,26772.051,28395.261,29008.062,29606.968,30750.107,32634.481,34750.692,36712.853,38309.417,38881.971,36984.959,38749.909,40238.293,41412.283,42499.325,43610.712,43784.932,44169.08,45839.363,47945.24,49479.265,47845.806,53184.981,57707.777,60859.128,63064.168,65198.866,67467.543,69773.361,72185.226
Pacific Islands ,1419.646,1376.432,1284.997,1234.133,1163.534,1062.668,1135.809,1200.087,1486.96,1420.551,1322.036,1471.028,1580.119,1723.93,1868.525,1713.1,1788.646,1693.255,1309.657,1255.27,1194.274,1067.367,1047.767,1265.773,1432.037,1607.885,1738.639,1923.673,2200.042,2056.798,2341.532,2775.081,3049.779,3023.196,3199.423,2969.215,2853.952,3056.382,3168.1,3158.682,2918.882,2453.042,2827.567,2844.221,2919.48,2923.501,2924.802,2975.054,3030.178
South America,2429.527,2385.134,1976.594,1813.964,1740.744,1883.545,2084.722,2169.565,2371.799,2550.116,2793.12,2834.811,2979.248,3162.495,3701.731,4555.249,4780.365,5005.718,4867.528,3877.765,4046.42,3667.64,2848.775,3030.866,3615.374,4561.202,5481.491,6740.201,8098.527,7712.579,9768.779,11328.926,11350.52,11201.459,10814.939,8752.209,8434.345,9480.417,8899.232,8411.229,6860.402,7857.984,8995.745,9630.557,10031.097,10339.251,10740.273,11257.206,11737.24
South Asia,292.219,303.347,307.1,315.893,310.371,327.389,337.556,364.938,382.648,381.091,399.494,356.044,369.187,359.095,396.269,432.144,457.299,468.974,465.989,483.009,485.804,487.91,503.276,575.243,655.512,735.683,817.263,1017.934,1020.979,1095.198,1315.907,1406.012,1406.752,1426.71,1542.791,1595.661,1713.062,1929.56,1962.653,2008.533,1894.376,2188.48,2330.193,2468.274,2646.873,2877.183,3126.597,3397.062,3689.891
Southeast Asia,776.974,767.274,799.039,803.125,893.281,747.622,759.108,803.863,820.818,854.571,949.644,1047.244,1168.939,1288.455,1448.178,1656.909,1806.815,1686.398,1026.913,1187.915,1249.721,1189.509,1309.148,1454.198,1622.866,1786.022,2111.57,2488.493,2860.372,2791.612,3411.386,3915.591,4106.764,4198.345,4185.706,4018.403,4164.492,4444.94,4718.133,4946.212,4674.702,5067.709,5391.621,5687.844,6074.783,6498.719,6928.756,7374.33,7840.773
Sub-Saharan Africa (Region) ,0,0,0,0,0,0,0,0,0,0,851.43,840.018,808.812,786.958,745.564,893.207,974.052,989.042,968.486,694.224,683.299,640.913,675.077,825.485,988.158,1138.48,1279.404,1444.776,1606.133,1490.505,1719.121,1906.001,1922.36,1968.296,2005.784,1759.022,1597.433,1642.071,1716.29,1686.371,1557.429,1709.367,1774.735,1677.641,1741.562,1849.024,1949.521,2050.745,2164.475
Western Europe,10528.524,9371.955,9003.604,8740.792,8387.184,8688.554,11819.891,14594.519,16252.226,16463.212,20309.987,21470.327,23240.276,21030.253,22248.368,25461.107,25876.362,24278.944,24988.676,24958.423,23116.195,23189.631,25140.843,30345.32,34726.903,35924.666,38000.019,43337.48,46289.946,41324.829,41030.82,44306.092,41728.204,43296.825,44562.933,39070.711,39043.766,40693.028,43646.516,42599.105,41326.352,46645.892,45177.286,48784.08,51445.324,53855.138,56129.234,58063.576,59988.446
Western Hemisphere (Region),6715.11,7342.386,7174.795,7449.625,8033.453,8478.547,8720.163,9156.494,9850.92,10541.043,11073.951,11349.291,11818.41,12322.254,12937.563,13416.889,13997.327,14730.773,15147.139,15431.009,16322.99,16457.159,16404.842,17038.256,18229.298,19709.286,21091.079,22445.93,23324.796,22173.607,23926.033,25353.117,25961.094,26448.617,26851.211,26074.324,26135.093,27424.778,28257.792,28807.683,27288.11,30408.766,33199.612,35082.002,36362.146,37557.256,38855.729,40214.956,41609.687
ASEAN-5,805.418,866.53,885.289,845.602,862.837,817.233,780.527,806.567,912.212,1023.486,1141.981,1256.296,1399.414,1538.094,1726.297,1967.975,2143.223,1988.208,1282.55,1496.561,1572.177,1487.217,1644.355,1821.529,2011.471,2199.273,2607.165,3074.119,3492.116,3385.137,4177.487,4742.031,4934.317,5009.992,4941.123,4715.428,4889.034,5213.511,5513.448,5771.691,5361.577,5882.641,6249.703,6597.204,7046.335,7527.395,8017.131,8522.837,9048.701
Advanced economies,10308.953,10393.803,10251.829,10602.027,11026.14,11544.87,14017.159,16206.809,18193.896,18845.65,20980.023,22206.975,23452.532,23286.091,24838.835,26932.729,26950.784,26263.189,26205,27433.364,27733.465,27274.175,28276.648,31528.421,34770.004,36354.823,37985.876,41221.389,43258.493,40570.265,42154.363,45011.518,44632.763,44832.244,45647.709,42967.254,43894.075,45602.87,48077.036,48349.97,47219.637,52474.214,53128.701,55920.76,58171.865,60674.347,63127.205,65438.953,67903.329
Emerging and Developing Asia,361.729,352.719,353.144,366.48,378.127,360.857,362.74,389.352,426.568,446.229,441.239,437.116,486.681,541.64,556.7,655.547,731.074,748.254,672.799,728.606,772.375,804.948,870.907,981.329,1125.277,1285.626,1508.12,1891.666,2253.046,2424.405,2893.486,3420.24,3730.868,4043.685,4325.911,4460.275,4542.842,4950.534,5414.995,5602.592,5633.576,6578.375,6712.339,6772.065,7136.806,7623.278,8134.44,8646.699,9195.908
